#stokes,freq,ind,real,imag
5,1040,0,746.68356428,-9.83238519
5,1040,1,19.49091513,3.04321183
5,1040,2,-6.56654190,-23.55238802
5,1040,3,2.20487372,-23.75032852
5,1040,4,-406.69845884,-28.55307822
5,1040,5,-6.25026377,-6.25383784
5,1040,6,-3.59739001,-15.77136709
5,1040,7,15.34641912,16.23284394
5,1040,8,-34.29970685,98.33974938
5,1040,9,80.01481394,-92.78642650
5,1040,10,29.77529362,45.34906674
5,1040,11,7.44485925,-18.43998440
5,1040,12,-425.64237456,34.68796790
5,1040,13,-4.20976459,15.24282762
5,1040,14,-3.62688888,-13.70204924
5,1040,15,-7.87745733,2.93860006
5,1040,16,-0.10062711,10.05400715
5,1040,17,-20.54308352,-23.18636628
5,1040,18,-39.53902364,30.68175344
5,1040,19,27.63394615,-63.30255490
5,1040,20,8.46182231,-3.66780063
5,1040,21,15.14626588,-4.28374302
5,1040,22,-17.59589574,9.92907463
5,1040,23,1.72291083,2.07742427
5,1040,24,367.95990894,11.97432514
5,1040,25,8.73011970,-14.25431423
5,1040,26,195.51421165,-14.25353869
5,1040,27,17.29475811,-4.61446495
5,1040,28,8.81043334,-2.91052604
5,1040,29,6.27492219,-5.75094188
5,1040,30,1.89260847,5.39415336
5,1040,31,1.97608733,8.23523388
5,1040,32,0.10727592,0.67902296
5,1040,33,10.17801870,-4.35954706
5,1040,34,-9.73351077,2.63990325
5,1040,35,-39.13948783,56.77937867
5,1040,36,-6.83115730,2.55791378
5,1040,37,0.25347358,-0.34845305
5,1040,38,-1.38831795,0.79582972
5,1040,39,1.13509550,-0.82165131
5,1040,40,-166.98649576,-25.53279907
5,1040,41,-2.74022421,8.54127753
5,1040,42,-291.25102549,36.33847954
5,1040,43,-15.03639295,4.61310732
5,1040,44,-3.94756864,-2.80167710
5,1040,45,-1.66308393,2.67634055
5,1040,46,-8.57292849,3.11622822
5,1040,47,-0.65242234,2.08924671
5,1040,48,-2.26913235,-8.07922276
5,1040,49,3.03174845,1.45852274
5,1040,50,2.07372047,3.46484731
5,1040,51,6.04491745,-8.60937500
5,1040,52,3.45877923,3.72347523
5,1040,53,-7.53136978,10.72196902
5,1040,54,14.34190515,-19.03230392
5,1040,55,-0.94124655,-0.22030779
5,1040,56,3.29002039,-0.50918851
5,1040,57,0.64099117,-0.91232217
5,1040,58,2.23862443,-0.40604788
5,1040,59,0.45824903,-0.44880256
5,1040,60,55.43119725,18.06415578
5,1040,61,0.26881128,-3.59413064
5,1040,62,182.27818693,-33.26598675
5,1040,63,4.91949489,-2.25513484
5,1040,64,-56.90582696,6.50008321
5,1040,65,-1.35839336,0.01764148
6,1040,0,-0.59589868,0.34351968
6,1040,1,2.58302859,0.74767366
6,1040,2,35.10857932,-64.78566918
6,1040,3,-14.94860998,109.08836674
6,1040,4,-6.38607167,5.11904008
6,1040,5,-33.93996130,67.86058687
6,1040,6,-9.82634302,4.85831721
6,1040,7,3.50076021,-1.41041468
6,1040,8,35.62162326,-90.04515356
6,1040,9,-78.82449155,169.84587182
6,1040,10,25.90837379,-233.19912238
6,1040,11,5.05980276,42.26439009
6,1040,12,7.06878458,-7.40313911
6,1040,13,39.40665027,-48.75616305
6,1040,14,13.99623190,-4.75026326
6,1040,15,-0.66381310,2.59783209
6,1040,16,2.98182963,0.84761246
6,1040,17,-4.61128307,0.09152055
6,1040,18,33.10013604,-43.52786332
6,1040,19,-53.06824637,85.82436115
6,1040,20,-3.96020546,4.31444005
6,1040,21,16.81649358,-35.22954424
6,1040,22,-0.95424988,-11.45990937
6,1040,23,2.85363326,-14.60575671
6,1040,24,-0.27292164,2.70546795
6,1040,25,-19.52385027,-6.54310983
6,1040,26,-19.94969005,6.70679823
6,1040,27,-18.12564640,32.41290098
6,1040,28,-3.58236361,1.96031623
6,1040,29,0.61927730,-2.81230130
6,1040,30,4.14386910,-3.72125583
6,1040,31,3.30715791,-1.81022520
6,1040,32,1.18214881,-8.85082566
6,1040,33,-7.74748242,21.23134963
6,1040,34,3.21089188,-3.58968197
6,1040,35,44.04372929,-86.93059821
6,1040,36,-1.27995869,2.42805059
6,1040,37,0.47745498,0.05533006
6,1040,38,-0.82003909,0.58021405
6,1040,39,0.99432243,-0.54265580
6,1040,40,-3.07662394,-0.14176342
6,1040,41,9.16276783,11.74670364
6,1040,42,15.21307675,-6.30105233
6,1040,43,17.58072435,-32.57686431
6,1040,44,3.10405317,-1.88798210
6,1040,45,3.60857938,-2.36124283
6,1040,46,1.85282957,-0.62725745
6,1040,47,-0.42789466,1.39745558
6,1040,48,-3.92959061,2.44522491
6,1040,49,-0.81815921,1.26360083
6,1040,50,2.04196532,-3.62032776
6,1040,51,-6.77108124,7.70351166
6,1040,52,1.00101162,-0.33965953
6,1040,53,9.28176962,-17.61731902
6,1040,54,-18.91420148,37.42460788
6,1040,55,-0.93444610,3.66048645
6,1040,56,-0.44702978,-0.83992353
6,1040,57,0.37828092,1.51674754
6,1040,58,-0.27074518,-0.61216455
6,1040,59,0.31865427,0.29786566
6,1040,60,3.40433968,-0.44926635
6,1040,61,-5.08247594,-1.17145728
6,1040,62,-8.82926256,4.05175042
6,1040,63,-8.20392180,14.69979394
6,1040,64,-2.46326615,0.67589482
6,1040,65,-1.75125784,3.87832100
7,1040,0,-0.96595974,-0.23288015
7,1040,1,2.52474324,-2.71036450
7,1040,2,22.15244736,-67.29069192
7,1040,3,-76.39659814,-7.76221928
7,1040,4,-4.63206733,6.78240402
7,1040,5,-27.32195564,70.16109243
7,1040,6,-3.99316280,-4.23190919
7,1040,7,-1.21019987,3.97275975
7,1040,8,25.78205662,-96.93851881
7,1040,9,-52.25018157,178.27603269
7,1040,10,159.77439917,15.82425330
7,1040,11,-55.60739756,3.80846160
7,1040,12,4.35351208,-7.65352319
7,1040,13,35.17725882,-51.79804491
7,1040,14,15.87171632,-7.14609152
7,1040,15,-2.59344489,-2.81534292
7,1040,16,1.84465189,2.56269862
7,1040,17,2.87910172,0.88396672
7,1040,18,21.35915459,-44.85806121
7,1040,19,-36.41673491,90.73768651
7,1040,20,-2.99440954,4.79392221
7,1040,21,-9.87821266,12.62283326
7,1040,22,20.34829597,-0.47826790
7,1040,23,7.03581755,2.01602297
7,1040,24,0.84771709,1.46813170
7,1040,25,-19.11855930,-5.23417274
7,1040,26,-21.76473625,10.50671109
7,1040,27,-17.33117362,34.14934969
7,1040,28,0.05083507,-1.42733932
7,1040,29,2.35117745,2.14330680
7,1040,30,-0.69620234,-0.27762628
7,1040,31,-1.30368743,-0.70126431
7,1040,32,1.48763317,-9.76356279
7,1040,33,-6.15272740,22.88090421
7,1040,34,2.54287387,-4.00447893
7,1040,35,29.79883501,-91.99554231
7,1040,36,2.74375130,-0.63706728
7,1040,37,-0.89571233,0.27807541
7,1040,38,1.98294188,-0.63666134
7,1040,39,-2.36693005,0.79736845
7,1040,40,-3.48026564,1.26322902
7,1040,41,9.13098730,11.25602131
7,1040,42,15.41673009,-8.96053868
7,1040,43,16.72629500,-34.33998065
7,1040,44,2.86569157,-2.47399669
7,1040,45,1.28832724,2.41119387
7,1040,46,-0.91948323,-0.52188334
7,1040,47,-0.14264777,0.07028530
7,1040,48,0.68800786,-0.08012347
7,1040,49,-0.08964341,-0.09860336
7,1040,50,1.32922143,-3.79382254
7,1040,51,-3.92790280,7.65239071
7,1040,52,0.47522014,-0.29626364
7,1040,53,6.33978859,-18.59141782
7,1040,54,-12.83066049,39.17667563
7,1040,55,-0.76682775,-0.77082064
7,1040,56,0.66496939,-0.46941195
7,1040,57,-2.76099185,0.33968302
7,1040,58,0.52272803,-0.32979778
7,1040,59,-1.34345740,0.27794868
7,1040,60,3.75896449,-1.51536837
7,1040,61,-4.77099601,-0.86201514
7,1040,62,-8.49188512,5.58315747
7,1040,63,-7.60248660,15.47764083
7,1040,64,-2.90893665,1.36332023
7,1040,65,-1.33738256,3.93255158
8,1040,0,747.68386922,-9.27549429
8,1040,1,20.47137869,-10.52818635
8,1040,2,-55.44208540,50.11906335
8,1040,3,-27.94539541,-85.94074616
8,1040,4,-407.23774898,-28.07501000
8,1040,5,-7.38116391,-8.48914739
8,1040,6,-0.82024855,-17.51535819
8,1040,7,15.22414470,26.96797436
8,1040,8,-106.42928675,-52.25292863
8,1040,9,174.65142041,12.12947914
8,1040,10,35.01465515,180.64329745
8,1040,11,-14.77019695,-35.23970195
8,1040,12,-425.50676008,34.09270609
8,1040,13,-5.37580711,16.71851433
8,1040,14,-6.04162088,-11.93882578
8,1040,15,-4.38051027,3.76602659
8,1040,16,-1.83529353,13.16587742
8,1040,17,-22.15920149,-22.86259346
8,1040,18,-31.61736538,-7.82063790
8,1040,19,73.52380028,17.50253404
8,1040,20,11.12578616,4.08196066
8,1040,21,-1.77804139,23.42591655
8,1040,22,15.22795993,9.50619108
8,1040,23,2.23577994,10.94846371
8,1040,24,367.07615349,11.40369046
8,1040,25,12.03258948,-13.51901484
8,1040,26,198.10910648,-15.86369987
8,1040,27,15.33109777,-6.79288928
8,1040,28,8.94232081,-3.75456114
8,1040,29,4.22578372,-6.58600520
8,1040,30,1.68573776,2.37709945
8,1040,31,2.47150822,6.78086945
8,1040,32,-17.81747946,3.87512168
8,1040,33,35.74997141,-6.36405291
8,1040,34,-10.78622504,-0.97632163
8,1040,35,-88.51605314,-12.73440729
8,1040,36,4.22852192,-1.66219739
8,1040,37,-0.05629070,-0.19301165
8,1040,38,0.88083856,-0.21846973
8,1040,39,-0.69952286,0.14574175
8,1040,40,-166.13640388,-24.99209606
8,1040,41,-5.26943622,7.62014731
8,1040,42,-292.83661139,36.92877360
8,1040,43,-13.48444033,6.61134800
8,1040,44,-5.11002339,-2.98314381
8,1040,45,-2.91344045,3.33153131
8,1040,46,-8.15002732,3.05622058
8,1040,47,-0.42933447,3.40622739
8,1040,48,-2.09311500,-6.66369682
8,1040,49,3.25738457,2.14006430
8,1040,50,-0.52861263,-1.47626110
8,1040,51,-1.48312435,4.38753827
8,1040,52,5.08792554,-3.46207261
8,1040,53,-17.76842874,-1.71156504
8,1040,54,36.26536891,-0.14457970
8,1040,55,-0.13366462,-2.69161428
8,1040,56,-2.11855001,0.79376298
8,1040,57,-0.85303644,-1.33992388
8,1040,58,-1.41703507,0.58266076
8,1040,59,-0.43311719,-0.33398576
8,1040,60,54.84342583,17.91535498
8,1040,61,1.22236994,-3.32930912
8,1040,62,183.06038364,-33.29304658
8,1040,63,4.39281499,-3.04681297
8,1040,64,-56.16536088,6.36573577
8,1040,65,-1.52070109,-0.12257777
5,1104,0,689.79458105,-10.19282322
5,1104,1,15.13439033,3.31817475
5,1104,2,-7.18165127,-69.58497648
5,1104,3,-65.30142846,-16.66780556
5,1104,4,-356.29705766,-46.27533034
5,1104,5,-0.72053192,-11.69674780
5,1104,6,2.16915333,-15.58280923
5,1104,7,18.16550077,2.70004611
5,1104,8,-40.67777172,1.03184286
5,1104,9,84.23361985,55.82628451
5,1104,10,157.91414877,40.63218074
5,1104,11,1.05512485,-13.56106112
5,1104,12,-419.44756587,63.57514975
5,1104,13,-10.53814498,14.70971096
5,1104,14,-22.43911272,-10.98809565
5,1104,15,-11.95494899,5.75453048
5,1104,16,-6.00151449,11.24503708
5,1104,17,-22.23821992,-18.32669600
5,1104,18,-42.09346004,5.70085284
5,1104,19,25.94741631,19.00188085
5,1104,20,5.29627679,-1.60873771
5,1104,21,45.71676150,2.04472521
5,1104,22,-20.58107352,6.84622010
5,1104,23,10.78162833,2.31488709
5,1104,24,315.81589761,-1.33052362
5,1104,25,9.07201250,-6.70323241
5,1104,26,158.21348687,-12.98577591
5,1104,27,14.71537316,-3.95677328
5,1104,28,9.19328925,-6.32564353
5,1104,29,11.82890261,-8.14666540
5,1104,30,2.84036716,7.46336034
5,1104,31,3.23327463,12.73817663
5,1104,32,3.94271741,-15.08680055
5,1104,33,10.79146715,18.35565748
5,1104,34,-9.27943027,1.95762560
5,1104,35,-40.55014063,-25.04998985
5,1104,36,-9.40828143,1.67184998
5,1104,37,1.42001548,-0.58744085
5,1104,38,-1.00934004,0.01875826
5,1104,39,2.51390281,-0.23301362
5,1104,40,-128.72101503,-25.82029834
5,1104,41,-2.14580281,2.91628261
5,1104,42,-270.28674091,42.22078041
5,1104,43,-18.41657929,5.28035608
5,1104,44,-50.71652207,2.34440733
5,1104,45,-1.98656698,3.46732913
5,1104,46,-11.72846694,7.18079440
5,1104,47,-3.50758412,2.64080137
5,1104,48,-1.93274897,-10.60701035
5,1104,49,2.86225845,-1.79209267
5,1104,50,1.12050914,-0.08564193
5,1104,51,7.69860746,-6.76595722
5,1104,52,4.62085655,1.82340186
5,1104,53,-7.84522255,-5.42660309
5,1104,54,15.70847018,13.63884199
5,1104,55,-1.46265777,-0.71160647
5,1104,56,4.74994529,-0.55176982
5,1104,57,0.79053250,-0.35568910
5,1104,58,3.12121742,-0.44185217
5,1104,59,0.42233633,-0.09941356
5,1104,60,50.75660069,18.02207090
5,1104,61,0.49203495,-2.00917259
5,1104,62,198.56832665,-40.25913162
5,1104,63,8.17990353,-3.12861422
5,1104,64,-2.52438399,1.55404735
5,1104,65,-1.61443158,-0.37702390
6,1104,0,101803.09605241,67738.96581897
6,1104,1,232889.60038779,-128285.39893545
6,1104,2,2276642.38035397,23075635.80964758
6,1104,3,11459155.27690302,-24622343.44504101
6,1104,4,173217.01132540,88956.88096829
6,1104,5,-93921.78884086,28617.42032393
6,1104,6,751614.05042625,-909665.32789011
6,1104,7,588965.87194610,-366379.25115840
6,1104,8,2496346.64558579,26693250.19784700
6,1104,9,-5254021.44954874,-52479820.12881012
6,1104,10,-23000365.60446573,44309714.05174019
6,1104,11,-1494023.84491827,-1992347.72529839
6,1104,12,-303547.22950252,-323697.03621943
6,1104,13,-903269.46470804,-301679.90429883
6,1104,14,-55672.72556398,259147.48240382
6,1104,15,-138226.10194169,-407200.62131120
6,1104,16,365220.95866030,-709272.73790272
6,1104,17,395403.85736160,-280806.78818119
6,1104,18,1112253.30400978,15087150.49502042
6,1104,19,-3029483.71395512,-28757210.36445710
6,1104,20,261095.91349893,-658135.56781443
6,1104,21,-9396747.52004827,11543676.26880553
6,1104,22,1770915.78362910,1647429.07025449
6,1104,23,-2028232.90278756,3299099.84046683
6,1104,24,-1134701.90921138,-849905.47274864
6,1104,25,-1398995.58743187,-643669.11745324
6,1104,26,805777.00128725,926548.44582719
6,1104,27,2657340.04067375,1052090.68444798
6,1104,28,618163.23797036,-197003.76905571
6,1104,29,-317333.46530735,1896345.67398434
6,1104,30,-2125072.50752463,2307963.90833694
6,1104,31,-1413056.72522084,988400.56795368
6,1104,32,381615.00716747,2669219.39007623
6,1104,33,-485434.83670107,-7142135.86060527
6,1104,34,-273140.55778496,1394053.92065084
6,1104,35,2276214.77820566,29533908.65595021
6,1104,36,1511662.38659051,-360966.13918463
6,1104,37,-341199.07895617,258047.30508740
6,1104,38,446640.92777541,-525079.15872654
6,1104,39,-583099.01366795,522485.60074579
6,1104,40,805691.93691691,1112111.49641997
6,1104,41,2442518.69675559,895444.40090334
6,1104,42,213680.66883469,-1010987.83002618
6,1104,43,-4785933.77130477,-1454033.11615021
6,1104,44,-3081308.32654616,-1017644.28194566
6,1104,45,-607982.11197243,1214352.88648236
6,1104,46,-747748.58334979,-173136.11538077
6,1104,47,588642.62694715,-1184939.56527282
6,1104,48,1573568.89200921,-1392273.75707119
6,1104,49,773125.44326730,-653314.21493301
6,1104,50,265411.30008080,1442816.37614877
6,1104,51,-337467.05899354,-2876240.69294321
6,1104,52,148340.63259627,-243911.90417024
6,1104,53,567111.38433776,5806653.96683399
6,1104,54,-1534563.94606574,-11792177.69192994
6,1104,55,216605.86879473,-540279.80854981
6,1104,56,-138883.73483686,-123528.43844664
6,1104,57,-249849.06163639,59394.69697971
6,1104,58,-132850.78294530,-134617.11158607
6,1104,59,-119296.67423418,51117.16007706
6,1104,60,-23566.58320347,-616573.27186015
6,1104,61,-1156627.60397211,-399717.57908073
6,1104,62,-705587.13083191,559153.54992533
6,1104,63,2228237.54689954,636537.67452020
6,1104,64,1748043.79796103,582800.50447943
6,1104,65,-1250012.12090054,-25353.60805749
7,1104,0,-4893.27009703,14276.26457358
7,1104,1,-288153.54590913,-36853.44219899
7,1104,2,22546030.49169698,17816886.44790855
7,1104,3,9264767.52866915,-65629112.35730789
7,1104,4,-92958.67698585,103604.03498398
7,1104,5,114732.83030542,-133281.00472770
7,1104,6,-291573.68913395,-43688.53039878
7,1104,7,-727079.24508076,-66674.75972988
7,1104,8,25788054.80902073,20393351.25829945
7,1104,9,-51275234.18786753,-40637363.74994793
7,1104,10,-16917986.34004416,120750497.79465498
7,1104,11,558623.46340035,-2780117.77413447
7,1104,12,-340547.91392832,292419.26608723
7,1104,13,298370.74296614,-215166.27089024
7,1104,14,530175.67744000,-585464.72969834
7,1104,15,695665.59510656,34852.86872960
7,1104,16,-112771.21229594,-26148.49058635
7,1104,17,-577821.88685995,-12449.51454335
7,1104,18,14048470.65077436,11065614.48976311
7,1104,19,-28166465.76523590,-22243402.14387223
7,1104,20,-158840.80067646,-70235.48691234
7,1104,21,-4654330.02927438,34964821.63906866
7,1104,22,-230281.71236877,1530401.88301722
7,1104,23,-1280006.92679459,9319190.11624224
7,1104,24,-275852.12011824,133949.71124780
7,1104,25,204388.73614898,-8252.42626449
7,1104,26,495277.06778904,-492903.72086432
7,1104,27,-563074.20282924,203019.46009616
7,1104,28,-340273.98704630,-124348.53329736
7,1104,29,-1760977.58583362,-185755.97110725
7,1104,30,758928.42667401,107697.85893311
7,1104,31,1203098.43080451,130857.95305748
7,1104,32,3043091.22545070,2226573.87573239
7,1104,33,-7102869.75744281,-5104757.58264591
7,1104,34,908184.44462775,212944.30160920
7,1104,35,28072388.37767635,22042677.86421641
7,1104,36,371562.59295617,-2441529.53347589
7,1104,37,-114454.75680358,914167.41107307
7,1104,38,196705.61503051,-1606556.93467900
7,1104,39,-223282.42042655,1756345.30729943
7,1104,40,905806.44408319,-889811.07593008
7,1104,41,-650166.68107186,420743.24189116
7,1104,42,-1409098.16251091,1690994.07543692
7,1104,43,1640101.19651760,-1312984.24037821
7,1104,44,409141.19210970,-1266856.84726566
7,1104,45,-1015536.35811865,-92072.99194923
7,1104,46,1063665.60783211,149458.62581974
7,1104,47,370550.27327044,37915.52396195
7,1104,48,-769284.38252548,-102992.78210630
7,1104,49,-355987.20086405,-63132.53975964
7,1104,50,1480687.72440538,1323219.86291941
7,1104,51,-2644617.80143313,-2407729.52132950
7,1104,52,-158027.66225912,152699.37015641
7,1104,53,5673261.93055804,4476127.28904892
7,1104,54,-12018460.58422274,-9980438.28477044
7,1104,55,200195.23235608,-1403977.37902639
7,1104,56,-4445.90469794,-81488.36844558
7,1104,57,-40141.28912706,403890.20850541
7,1104,58,839.16327573,-126894.93894700
7,1104,59,-26838.50090917,242179.51421927
7,1104,60,-744378.15934214,867941.65686974
7,1104,61,332946.91072604,-235716.21196892
7,1104,62,1152360.03961764,-1477781.59603978
7,1104,63,-815612.41997167,693193.21974969
7,1104,64,-323101.58293501,744355.28389324
7,1104,65,873676.71390565,-1036537.48787046
8,1104,0,-168369.49245752,-307945.16482083
8,1104,1,874473.03421901,-100152.75559877
8,1104,2,-43086140.15889812,17690216.92491576
8,1104,3,-53536356.44160957,55287916.33211688
8,1104,4,-762559.87859101,-717322.06796601
8,1104,5,-512019.51395855,-519915.09961058
8,1104,6,1191746.11575669,925010.92922844
8,1104,7,-207488.05293459,940000.53439351
8,1104,8,-46324248.33073586,18980402.45680559
8,1104,9,96361727.74302216,-38922422.88750222
8,1104,10,108513137.91859019,-89713928.13201632
8,1104,11,9550201.51232328,16761408.34702502
8,1104,12,-1021586.07493450,798041.41042173
8,1104,13,-962820.13134870,-33219.17934663
8,1104,14,1684278.78837313,-670533.31247584
8,1104,15,2243214.30760884,-1650426.59197787
8,1104,16,-5797212.44076169,3592777.65463009
8,1104,17,-4648799.76866366,2754269.21275663
8,1104,18,-17830207.73299570,6387714.01718017
8,1104,19,48998772.09061783,-19183090.31389361
8,1104,20,-8821002.83904991,4554244.26277777
8,1104,21,47779653.50437792,-6169199.19084280
8,1104,22,-8691883.85231519,-10922115.07826282
8,1104,23,9696679.63096921,-5371706.90407081
8,1104,24,1974690.47107483,5529643.82507022
8,1104,25,533920.36758310,2559727.04012075
8,1104,26,-4151206.37578628,-10061177.96085053
8,1104,27,-1890400.17258701,-7028184.80466104
8,1104,28,-556156.22732260,4904561.05447885
8,1104,29,-4541984.02025180,1388251.32614167
8,1104,30,-885530.03604242,-5513848.45758511
8,1104,31,1039754.41556378,-4166063.16172175
8,1104,32,-9972758.32950773,4277409.79344481
8,1104,33,13847974.40953200,-5809924.29976682
8,1104,34,6624261.50005485,-2809019.85067575
8,1104,35,-50517471.38523551,20634121.97962670
8,1104,36,-7341826.92937256,-2248510.25642821
8,1104,37,1884466.54904210,630834.59199426
8,1104,38,-2202219.22313023,75968.39282808
8,1104,39,2877569.28499015,231003.42629224
8,1104,40,-2120547.21658677,-9272143.15400260
8,1104,41,140596.00604418,-3243582.32447836
8,1104,42,3423768.44580296,13544381.99112794
8,1104,43,-919677.19937223,6107126.41936035
8,1104,44,-1999641.09928384,-2861619.85178312
8,1104,45,-5399902.22179609,-1462053.16854923
8,1104,46,-1157352.39795704,-2721313.07417343
8,1104,47,1076609.94279207,924239.73053587
8,1104,48,1612307.80631328,3950010.07469921
8,1104,49,1056390.18562831,2074828.55700265
8,1104,50,-3937368.66533374,1561899.61702569
8,1104,51,5232928.71436597,-1996998.28423621
8,1104,52,-1377611.69618023,514233.59556222
8,1104,53,-10683961.40902064,4300887.15435351
8,1104,54,29163159.95786029,-11517453.98373627
8,1104,55,-998892.16688882,1360250.44892286
8,1104,56,564826.16367928,525012.96535823
8,1104,57,1117980.22335049,557741.62941169
8,1104,58,585151.20690777,503797.25894707
8,1104,59,531618.47366794,174402.59537231
8,1104,60,1737884.21714987,7080852.10524369
8,1104,61,32426.87950513,1739006.89665313
8,1104,62,-2091505.32332794,-9482493.66136658
8,1104,63,660830.10047809,-2496729.59681228
8,1104,64,80206.87981894,532871.95589070
8,1104,65,-1736630.03447114,-549587.15025897
5,1168,0,659.23188503,-11.69272122
5,1168,1,16.58636193,2.11380279
5,1168,2,-38.34162805,-85.61351189
5,1168,3,-88.07152027,-11.30671284
5,1168,4,-329.56860823,-60.06214467
5,1168,5,-0.36217072,-14.79185575
5,1168,6,-1.87832877,-15.03173029
