#stokes,freq,ind,real,imag
5,2052,0, 308.24619380, 0.00666430
5,2052,1, 2.26431310, 17.30392770
5,2052,2,-19.20709580, 13.47632230
5,2052,3,-231.35016600,-45.99100640
5,2052,4,-155.17504220,-11.02611510
5,2052,5, 7.64278430, 0.86905820
5,2052,6,-2.45807140, 1.61363580
5,2052,7, 0.99685550,-13.97308510
5,2052,8,-16.40438960, 14.23927920
5,2052,9, 37.13369170,-31.70055870
5,2052,10, 408.00419130, 83.45891860
5,2052,11,-29.76814410,-5.77407880
5,2052,12,-235.06041780, 22.37340860
5,2052,13, 1.88475740,-1.39876140
5,2052,14,-54.53442990, 0.83645970
5,2052,15,-0.27809840, 1.18791210
5,2052,16, 2.51718520,-3.63346520
5,2052,17,-2.27845240,-6.62801640
5,2052,18,-9.22044310, 10.56374280
5,2052,19, 21.03446130,-16.97190560
5,2052,20,-0.60399430, 4.52818880
5,2052,21, 85.65915040, 15.85896660
5,2052,22, 29.13342160, 2.49023030
5,2052,23, 29.13436030, 5.74821060
5,2052,24, 112.44808940,-2.50344090
5,2052,25,-11.98903400, 1.15820060
5,2052,26, 88.53657200,-3.46373610
5,2052,27,-0.73414160, 0.71041190
5,2052,28,-0.27102400,-1.55082990
5,2052,29,-0.50202280, 1.43178850
5,2052,30,-0.14660950,-0.62243370
5,2052,31, 0.01954120, 6.41988530
5,2052,32,-6.39216160,-6.92984520
5,2052,33, 5.94257010,-6.08189010
5,2052,34, 0.18535320,-2.27177940
5,2052,35,-21.13396860, 16.94415980
5,2052,36,-21.49664350,-0.48488690
5,2052,37, 1.95602080, 0.78774030
5,2052,38,-4.77209180,-0.45330600
5,2052,39, 3.23656850, 0.58792160
5,2052,40,-18.51418780,-13.20854280
5,2052,41, 5.52001300, 1.02247630
5,2052,42,-56.97642790, 5.71477440
5,2052,43,-1.51734720,-1.49332650
5,2052,44,-47.34994290, 0.99705210
5,2052,45, 0.15555900,-0.03677300
5,2052,46, 0.89119600,-0.33131760
5,2052,47, 0.47265000,-1.64070120
5,2052,48,-0.66084830, 4.35051470
5,2052,49, 1.17273710,-0.45206590
5,2052,50, 2.38265810, 8.95760370
5,2052,51, 1.30533200, 1.68662210
5,2052,52, 0.37387900, 0.38813780
5,2052,53,-4.18757630, 3.45848260
5,2052,54, 7.65673330,-6.75637650
5,2052,55, 2.22588390, 0.27626160
5,2052,56, 13.92139790,-0.98764800
5,2052,57, 0.10634940, 0.23348110
5,2052,58,-5.68450730, 0.68079550
5,2052,59,-0.64513860,-0.84990400
5,2052,60, 37.03176560, 12.22317500
5,2052,61, 2.81246320,-2.21729380
5,2052,62,-3.40680790, 0.25470700
5,2052,63, 3.05989750, 0.48631040
5,2052,64, 64.51727240,-1.31040090
5,2052,65, 0.28026330, 0.17546690
6,2052,0,-0.01638300, 0.06519000
6,2052,1,-3.77773350, 0.06492780
6,2052,2,-28.41459480,-6.24100710
6,2052,3, 65.23184110, 287.33282410
6,2052,4, 2.87506040, 0.74451070
6,2052,5,-4.09223690, 0.78209620
6,2052,6, 2.44436980, 2.95457150
6,2052,7, 7.03757280, 0.98853180
6,2052,8,-33.25085920,-5.93998680
6,2052,9, 69.75384190, 13.49077730
6,2052,10,-114.76673150,-520.28618030
6,2052,11, 5.42975350, 29.67811480
6,2052,12,-2.32378730,-1.14307560
6,2052,13, 8.69540050,-3.26855490
6,2052,14,-2.55194670,-0.43510770
6,2052,15, 2.08809380, 0.80107880
6,2052,16,-2.82240330,-1.79118970
6,2052,17,-1.72874300,-0.92358000
6,2052,18,-17.85833280,-1.60728070
6,2052,19, 33.96957570, 6.48533880
6,2052,20, 3.68577840,-0.42656200
6,2052,21,-24.06913530,-110.56037040
6,2052,22,-4.14312590,-17.20677400
6,2052,23,-7.79883260,-36.71487940
6,2052,24, 5.38883190, 0.52869950
6,2052,25,-4.67529920, 2.79127750
6,2052,26, 0.45469780, 0.45548190
6,2052,27,-3.19517810,-0.88277580
6,2052,28,-0.47470560,-0.32278000
6,2052,29,-0.59276150, 0.08140100
6,2052,30,-1.68792740,-1.88214590
6,2052,31,-2.95249180, 4.32973510
6,2052,32,-5.24374710,-4.63352260
6,2052,33, 9.16487980, 2.90153110
6,2052,34,-1.87238660,-1.13808040
6,2052,35,-32.71604560,-7.62868430
6,2052,36, 3.89537120, 9.06657110
6,2052,37, 1.26920700,-5.30890620
6,2052,38, 1.38782590, 4.70532780
6,2052,39,-0.82301880,-4.53205170
6,2052,40,-7.15446260,-0.01013280
6,2052,41,-1.31657360,-1.14572030
6,2052,42,-3.30762990,-0.05192040
6,2052,43, 1.95924280, 2.12563290
6,2052,44,-2.48390050, 1.27883200
6,2052,45,-0.96553810, 2.02235140
6,2052,46,-1.69144980, 0.10114040
6,2052,47, 0.28895720,-0.81728470
6,2052,48, 3.00005640, 3.14014770
6,2052,49, 2.47359940,-3.95353850
6,2052,50,-0.16823500, 2.08469750
6,2052,51, 3.98170610, 0.10685740
6,2052,52,-0.73049430, 2.13060950
6,2052,53,-7.08092260,-1.41712300
6,2052,54, 15.26573380, 0.63747960
6,2052,55,-1.15390170,-2.46947440
6,2052,56,-1.97819300,-1.10477770
6,2052,57,-1.03775480, 0.20391910
6,2052,58, 0.03973590,-0.32165530
6,2052,59, 0.70926040, 2.03744530
6,2052,60, 5.82848100,-0.25868150
6,2052,61, 3.19662770,-0.27087320
6,2052,62, 6.43070930,-0.60788060
6,2052,63, 0.38180880,-2.03331810
6,2052,64, 2.26322990, 0.10168360
6,2052,65, 2.58613820, 1.55199500
7,2052,0,-0.02641530, 0.18194160
7,2052,1, 1.42409270,-0.42795880
7,2052,2, 23.13734380, 2.43017480
7,2052,3, 20.22488780,-111.64982900
7,2052,4, 2.52250970,-0.70591750
7,2052,5,-3.91635420,-0.81888480
7,2052,6, 4.56630640, 2.21224260
7,2052,7, 3.42375610, 0.67695500
7,2052,8, 26.87207430, 2.41918470
7,2052,9,-58.04513850,-6.69692740
7,2052,10,-32.78177290, 201.99185760
7,2052,11,-6.54048020,-16.41215570
7,2052,12,-1.14176720, 0.51593390
7,2052,13, 8.74491810, 2.66231300
7,2052,14,-3.16583380, 0.26361850
7,2052,15,-1.54930560, 0.87771220
7,2052,16,-0.80870330,-1.90862560
7,2052,17,-1.44277480,-0.77637200
7,2052,18, 16.36278500, 3.79116360
7,2052,19,-27.06029370,-1.45660200
7,2052,20,-4.01989720,-1.56922740
7,2052,21,-21.19251860, 36.99987940
