#stokes,freq,ind,real,imag,eta
5,2180,0,0.396943,0.196642,1
5,2180,1,1.461423,0.724423,1
5,2180,2,-0.706078,-0.277627,1
5,2180,3,-13.659884,-6.433589,1
5,2180,4,0.853009,0.42373,1
5,2180,5,-1.999485,-0.991899,1
5,2180,6,-2.407645,-1.195393,1
5,2180,7,1.717815,0.855742,1
5,2180,8,-0.812877,-0.320404,1
5,2180,9,1.959286,0.802839,1
5,2180,10,24.876159,11.724976,1
5,2180,11,-1.527969,-0.718857,1
5,2180,12,0.624497,0.313478,1
5,2180,13,-1.556612,-0.778589,1
5,2180,14,2.691844,1.337891,1
5,2180,15,2.86246,1.424413,1
5,2180,16,-1.276829,-0.642498,1
5,2180,17,0.716923,0.366212,1
5,2180,18,-0.439189,-0.171919,1
5,2180,19,1.08806,0.44618,1
5,2180,20,-1.318364,-0.641982,1
5,2180,21,3.602413,1.677971,1
5,2180,22,1.117739,0.530228,1
5,2180,23,1.712297,0.806861,1
5,2180,24,0.008676,0.010811,1
5,2180,25,-0.202873,-0.113488,1
5,2180,26,0.930594,0.473157,1
5,2180,27,-2.927189,-1.458823,1
5,2180,28,-2.894029,-1.44488,1
5,2180,29,0.563601,0.292891,1
5,2180,30,0.239703,0.105096,1
5,2180,31,-0.475343,-0.222365,1
5,2180,32,-0.074739,-0.024604,1
5,2180,33,0.164979,0.057617,1
5,2180,34,-0.281192,-0.140378,1
5,2180,35,1.221388,0.682437,1
5,2180,36,1.903859,0.930773,1
5,2180,37,0.15256,0.065982,1
5,2180,38,-0.388351,-0.183183,1
5,2180,39,0.223739,0.106133,1
5,2180,40,-0.39388,-0.189609,1
5,2180,41,0.756524,0.363074,1
5,2180,42,-0.575792,-0.271999,1
5,2180,43,-0.206594,-0.116924,1
5,2180,44,2.774265,1.388311,1
5,2180,45,2.590842,1.300316,1
5,2180,46,0.119098,0.044462,1
5,2180,47,-0.789197,-0.379197,1
5,2180,48,0.851009,0.412603,1
5,2180,49,-0.805319,-0.39157,1
5,2180,50,0.052375,0.026493,1
5,2180,51,-0.197703,-0.097303,1
5,2180,52,0.345497,0.163944,1
5,2180,53,-0.147186,-0.054865,1
5,2180,54,-2.263203,-1.132895,1
5,2180,55,-2.758176,-1.339434,1
5,2180,56,-0.279686,-0.129293,1
5,2180,57,0.496411,0.236796,1
5,2180,58,-0.284771,-0.13639,1
5,2180,59,0.11069,0.053134,1
5,2180,60,-0.288516,-0.141754,1
5,2180,61,0.632884,0.310291,1
5,2180,62,-0.794127,-0.387694,1
5,2180,63,0.887332,0.429971,1
5,2180,64,-0.396951,-0.182889,1
5,2180,65,-2.346129,-1.182205,1
5,2308,0,-0.644109,0.323997,1
5,2308,1,0.267623,0.019366,1
5,2308,2,0.53398,-0.815959,1
5,2308,3,12.990532,-7.737426,1
5,2308,4,0.798445,-0.489341,1
5,2308,5,0.074754,-0.261097,1
5,2308,6,-0.060366,0.027078,1
5,2308,7,-0.389322,0.001003,1
5,2308,8,-0.623466,1.008823,1
5,2308,9,-0.071664,0.093411,1
5,2308,10,-23.544609,14.028054,1
5,2308,11,1.636589,-0.971828,1
5,2308,12,0.05395,0.111702,1
5,2308,13,-0.119988,0.412519,1
5,2308,14,0.023171,-0.010818,1
5,2308,15,-0.003057,0.002485,1
5,2308,16,0.112792,-0.051092,1
5,2308,17,0.000601,-0.055998,1
5,2308,18,-0.040442,0.137365,1
5,2308,19,-0.113899,0.021638,1
5,2308,20,-0.002539,0.00175,1
5,2308,21,-4.965227,2.960378,1
5,2308,22,-0.865306,0.505315,1
5,2308,23,-1.665225,0.992193,1
5,2308,24,-0.100539,0.055066,1
5,2308,25,0.000606,0.012458,1
5,2308,26,-0.053165,0.024655,1
5,2308,27,0.000414,0.000367,1
5,2308,28,0.00058,-0.000511,1
5,2308,29,0.009106,-0.0062,1
5,2308,30,-0.017907,0.007359,1
5,2308,31,0.107127,0.019081,1
5,2308,32,0.2147,-0.348071,1
5,2308,33,-0.00492,0.015184,1
5,2308,34,0.00845,-0.008116,1
5,2308,35,0.059354,-0.048315,1
5,2308,36,0.350784,-0.209719,1
5,2308,37,-0.262923,0.158289,1
5,2308,38,0.179302,-0.104154,1
5,2308,39,-0.200552,0.119754,1
5,2308,40,-0.202109,0.03497,1
5,2308,41,0.055868,-0.201572,1
5,2308,42,0.008936,-0.008457,1
5,2308,43,0.000455,-0.006933,1
5,2308,44,-0.000305,-0.000436,1
5,2308,45,0.00038,-0.000004,1
5,2308,46,-0.003652,0.001387,1
5,2308,47,-0.001289,0.003935,1
5,2308,48,-0.064268,0.027469,1
5,2308,49,0.106925,0.034054,1
5,2308,50,0.232195,-0.388891,1
5,2308,51,0.033819,0.004062,1
5,2308,52,0.003427,-0.006656,1
5,2308,53,0.011344,-0.009109,1
5,2308,54,-0.021671,0.016986,1
5,2308,55,0.00137,-0.000894,1
5,2308,56,0.000534,0.000391,1
5,2308,57,-0.002849,0.000593,1
5,2308,58,0.007082,0.00074,1
5,2308,59,-0.070957,0.042234,1
5,2308,60,-0.07423,-0.003916,1
5,2308,61,0.034007,-0.125502,1
5,2308,62,0.021991,-0.008785,1
5,2308,63,0.001255,-0.000834,1
5,2308,64,-0.003486,0.001926,1
5,2308,65,0.000971,-0.003731,1
5,2564,0,-0.18034,-0.208624,1
5,2564,1,-0.009798,0.073319,1
5,2564,2,0.14465,-0.091456,1
5,2564,3,2.625872,-0.268594,1
5,2564,4,0.172748,0.219547,1
5,2564,5,0.044836,-0.05332,1
5,2564,6,-0.007205,0.010832,1
5,2564,7,0.014323,-0.09981,1
5,2564,8,-0.15449,0.104027,1
5,2564,9,-0.022985,0.006495,1
5,2564,10,-4.765326,0.486673,1
5,2564,11,0.319027,-0.036187,1
5,2564,12,0.096471,0.082247,1
5,2564,13,-0.071257,0.084747,1
5,2564,14,-0.000285,-0.000765,1
5,2564,15,0.000185,0.000664,1
5,2564,16,0.014022,-0.020611,1
5,2564,17,-0.000169,-0.012951,1
5,2564,18,-0.030723,0.026524,1
5,2564,19,-0.032157,0.015948,1
5,2564,20,0.000215,0.00009,1
5,2564,21,-1.01982,0.099117,1
5,2564,22,-0.163771,0.017227,1
5,2564,23,-0.338342,0.034043,1
5,2564,24,-0.027713,-0.037285,1
5,2564,25,-0.001093,0.001386,1
5,2564,26,-0.000414,0.000111,1
5,2564,27,-0.000087,-0.000038,1
5,2564,28,0.000199,-0.00005,1
5,2564,29,-0.000637,-0.001497,1
5,2564,30,-0.003026,0.00291,1
5,2564,31,-0.003847,0.031542,1
5,2564,32,0.062585,-0.041077,1
5,2564,33,-0.001939,0.000113,1
5,2564,34,-0.000033,-0.000766,1
5,2564,35,0.017974,-0.006896,1
5,2564,36,0.073425,-0.006743,1
5,2564,37,-0.05463,0.005191,1
5,2564,38,0.035873,-0.002606,1
5,2564,39,-0.041931,0.003846,1
5,2564,40,-0.09461,-0.092409,1
5,2564,41,0.033878,-0.040566,1
5,2564,42,-0.0051,-0.003968,1
5,2564,43,0.001257,-0.001087,1
5,2564,44,-0.000355,-0.000432,1
5,2564,45,-0.000074,-0.000077,1
5,2564,46,-0.000599,-0.000151,1
5,2564,47,0.00066,0.002031,1
5,2564,48,-0.006973,0.009911,1
5,2564,49,-0.003255,0.03549,1
5,2564,50,0.072262,-0.049078,1
5,2564,51,0.009079,-0.005836,1
5,2564,52,0.002533,-0.000855,1
