#stokes,freq,ind,real,imag,eta
5,1040,0,746.6835643,-9.83238519,1
5,1040,1,19.49091513,3.04321183,1
5,1040,2,-6.5665419,-23.55238802,1
5,1040,3,2.20487372,-23.75032852,1
5,1040,4,-406.6984588,-28.55307822,1
5,1040,5,-6.25026377,-6.25383784,1
5,1040,6,-3.59739001,-15.77136709,1
5,1040,7,15.34641912,16.23284394,1
5,1040,8,-34.29970685,98.33974938,1
5,1040,9,80.01481394,-92.7864265,1
5,1040,10,29.77529362,45.34906674,1
5,1040,11,7.44485925,-18.4399844,1
5,1040,12,-425.6423746,34.6879679,1
5,1040,13,-4.20976459,15.24282762,1
5,1040,14,-3.62688888,-13.70204924,1
5,1040,15,-7.87745733,2.93860006,1
5,1040,16,-0.10062711,10.05400715,1
5,1040,17,-20.54308352,-23.18636628,1
5,1040,18,-39.53902364,30.68175344,1
5,1040,19,27.63394615,-63.3025549,1
5,1040,20,8.46182231,-3.66780063,1
5,1040,21,15.14626588,-4.28374302,1
5,1040,22,-17.59589574,9.92907463,1
5,1040,23,1.72291083,2.07742427,1
5,1040,24,367.9599089,11.97432514,1
5,1040,25,8.7301197,-14.25431423,1
5,1040,26,195.5142117,-14.25353869,1
5,1040,27,17.29475811,-4.61446495,1
5,1040,28,8.81043334,-2.91052604,1
5,1040,29,6.27492219,-5.75094188,1
5,1040,30,1.89260847,5.39415336,1
5,1040,31,1.97608733,8.23523388,1
5,1040,32,0.10727592,0.67902296,1
5,1040,33,10.1780187,-4.35954706,1
5,1040,34,-9.73351077,2.63990325,1
5,1040,35,-39.13948783,56.77937867,1
5,1040,36,-6.8311573,2.55791378,1
5,1040,37,0.25347358,-0.34845305,1
5,1040,38,-1.38831795,0.79582972,1
5,1040,39,1.1350955,-0.82165131,1
5,1040,40,-166.9864958,-25.53279907,1
5,1040,41,-2.74022421,8.54127753,1
5,1040,42,-291.2510255,36.33847954,1
5,1040,43,-15.03639295,4.61310732,1
5,1040,44,-3.94756864,-2.8016771,1
5,1040,45,-1.66308393,2.67634055,1
5,1040,46,-8.57292849,3.11622822,1
5,1040,47,-0.65242234,2.08924671,1
5,1040,48,-2.26913235,-8.07922276,1
5,1040,49,3.03174845,1.45852274,1
5,1040,50,2.07372047,3.46484731,1
5,1040,51,6.04491745,-8.609375,1
5,1040,52,3.45877923,3.72347523,1
5,1040,53,-7.53136978,10.72196902,1
5,1040,54,14.34190515,-19.03230392,1
5,1040,55,-0.94124655,-0.22030779,1
5,1040,56,3.29002039,-0.50918851,1
5,1040,57,0.64099117,-0.91232217,1
5,1040,58,2.23862443,-0.40604788,1
5,1040,59,0.45824903,-0.44880256,1
5,1040,60,55.43119725,18.06415578,1
5,1040,61,0.26881128,-3.59413064,1
5,1040,62,182.2781869,-33.26598675,1
5,1040,63,4.91949489,-2.25513484,1
5,1040,64,-56.90582696,6.50008321,1
5,1040,65,-1.35839336,0.01764148,1
6,1040,0,-0.59589868,0.34351968,1
6,1040,1,2.58302859,0.74767366,1
6,1040,2,35.10857932,-64.78566918,1
6,1040,3,-14.94860998,109.0883667,1
6,1040,4,-6.38607167,5.11904008,1
6,1040,5,-33.9399613,67.86058687,1
6,1040,6,-9.82634302,4.85831721,1
6,1040,7,3.50076021,-1.41041468,1
6,1040,8,35.62162326,-90.04515356,1
6,1040,9,-78.82449155,169.8458718,1
6,1040,10,25.90837379,-233.1991224,1
6,1040,11,5.05980276,42.26439009,1
6,1040,12,7.06878458,-7.40313911,1
6,1040,13,39.40665027,-48.75616305,1
6,1040,14,13.9962319,-4.75026326,1
6,1040,15,-0.6638131,2.59783209,1
6,1040,16,2.98182963,0.84761246,1
6,1040,17,-4.61128307,0.09152055,1
6,1040,18,33.10013604,-43.52786332,1
6,1040,19,-53.06824637,85.82436115,1
6,1040,20,-3.96020546,4.31444005,1
6,1040,21,16.81649358,-35.22954424,1
6,1040,22,-0.95424988,-11.45990937,1
6,1040,23,2.85363326,-14.60575671,1
6,1040,24,-0.27292164,2.70546795,1
6,1040,25,-19.52385027,-6.54310983,1
6,1040,26,-19.94969005,6.70679823,1
6,1040,27,-18.1256464,32.41290098,1
6,1040,28,-3.58236361,1.96031623,1
6,1040,29,0.6192773,-2.8123013,1
6,1040,30,4.1438691,-3.72125583,1
6,1040,31,3.30715791,-1.8102252,1
6,1040,32,1.18214881,-8.85082566,1
6,1040,33,-7.74748242,21.23134963,1
6,1040,34,3.21089188,-3.58968197,1
6,1040,35,44.04372929,-86.93059821,1
6,1040,36,-1.27995869,2.42805059,1
6,1040,37,0.47745498,0.05533006,1
6,1040,38,-0.82003909,0.58021405,1
6,1040,39,0.99432243,-0.5426558,1
6,1040,40,-3.07662394,-0.14176342,1
6,1040,41,9.16276783,11.74670364,1
6,1040,42,15.21307675,-6.30105233,1
6,1040,43,17.58072435,-32.57686431,1
6,1040,44,3.10405317,-1.8879821,1
6,1040,45,3.60857938,-2.36124283,1
6,1040,46,1.85282957,-0.62725745,1
6,1040,47,-0.42789466,1.39745558,1
6,1040,48,-3.92959061,2.44522491,1
6,1040,49,-0.81815921,1.26360083,1
6,1040,50,2.04196532,-3.62032776,1
6,1040,51,-6.77108124,7.70351166,1
6,1040,52,1.00101162,-0.33965953,1
6,1040,53,9.28176962,-17.61731902,1
6,1040,54,-18.91420148,37.42460788,1
6,1040,55,-0.9344461,3.66048645,1
6,1040,56,-0.44702978,-0.83992353,1
6,1040,57,0.37828092,1.51674754,1
6,1040,58,-0.27074518,-0.61216455,1
6,1040,59,0.31865427,0.29786566,1
6,1040,60,3.40433968,-0.44926635,1
6,1040,61,-5.08247594,-1.17145728,1
6,1040,62,-8.82926256,4.05175042,1
6,1040,63,-8.2039218,14.69979394,1
6,1040,64,-2.46326615,0.67589482,1
6,1040,65,-1.75125784,3.878321,1
7,1040,0,-0.96595974,-0.23288015,1
7,1040,1,2.52474324,-2.7103645,1
7,1040,2,22.15244736,-67.29069192,1
7,1040,3,-76.39659814,-7.76221928,1
7,1040,4,-4.63206733,6.78240402,1
7,1040,5,-27.32195564,70.16109243,1
7,1040,6,-3.9931628,-4.23190919,1
7,1040,7,-1.21019987,3.97275975,1
7,1040,8,25.78205662,-96.93851881,1
7,1040,9,-52.25018157,178.2760327,1
7,1040,10,159.7743992,15.8242533,1
7,1040,11,-55.60739756,3.8084616,1
7,1040,12,4.35351208,-7.65352319,1
7,1040,13,35.17725882,-51.79804491,1
7,1040,14,15.87171632,-7.14609152,1
7,1040,15,-2.59344489,-2.81534292,1
7,1040,16,1.84465189,2.56269862,1
7,1040,17,2.87910172,0.88396672,1
7,1040,18,21.35915459,-44.85806121,1
7,1040,19,-36.41673491,90.73768651,1
7,1040,20,-2.99440954,4.79392221,1
7,1040,21,-9.87821266,12.62283326,1
7,1040,22,20.34829597,-0.4782679,1
7,1040,23,7.03581755,2.01602297,1
7,1040,24,0.84771709,1.4681317,1
7,1040,25,-19.1185593,-5.23417274,1
7,1040,26,-21.76473625,10.50671109,1
7,1040,27,-17.33117362,34.14934969,1
7,1040,28,0.05083507,-1.42733932,1
7,1040,29,2.35117745,2.1433068,1
7,1040,30,-0.69620234,-0.27762628,1
7,1040,31,-1.30368743,-0.70126431,1
7,1040,32,1.48763317,-9.76356279,1
7,1040,33,-6.1527274,22.88090421,1
7,1040,34,2.54287387,-4.00447893,1
7,1040,35,29.79883501,-91.99554231,1
7,1040,36,2.7437513,-0.63706728,1
7,1040,37,-0.89571233,0.27807541,1
7,1040,38,1.98294188,-0.63666134,1
7,1040,39,-2.36693005,0.79736845,1
7,1040,40,-3.48026564,1.26322902,1
7,1040,41,9.1309873,11.25602131,1
7,1040,42,15.41673009,-8.96053868,1
7,1040,43,16.726295,-34.33998065,1
7,1040,44,2.86569157,-2.47399669,1
7,1040,45,1.28832724,2.41119387,1
7,1040,46,-0.91948323,-0.52188334,1
7,1040,47,-0.14264777,0.0702853,1
7,1040,48,0.68800786,-0.08012347,1
7,1040,49,-0.08964341,-0.09860336,1
7,1040,50,1.32922143,-3.79382254,1
7,1040,51,-3.9279028,7.65239071,1
7,1040,52,0.47522014,-0.29626364,1
7,1040,53,6.33978859,-18.59141782,1
7,1040,54,-12.83066049,39.17667563,1
7,1040,55,-0.76682775,-0.77082064,1
7,1040,56,0.66496939,-0.46941195,1
7,1040,57,-2.76099185,0.33968302,1
7,1040,58,0.52272803,-0.32979778,1
7,1040,59,-1.3434574,0.27794868,1
7,1040,60,3.75896449,-1.51536837,1
7,1040,61,-4.77099601,-0.86201514,1
7,1040,62,-8.49188512,5.58315747,1
7,1040,63,-7.6024866,15.47764083,1
7,1040,64,-2.90893665,1.36332023,1
7,1040,65,-1.33738256,3.93255158,1
8,1040,0,747.6838692,-9.27549429,1
8,1040,1,20.47137869,-10.52818635,1
8,1040,2,-55.4420854,50.11906335,1
8,1040,3,-27.94539541,-85.94074616,1
8,1040,4,-407.237749,-28.07501,1
8,1040,5,-7.38116391,-8.48914739,1
8,1040,6,-0.82024855,-17.51535819,1
8,1040,7,15.2241447,26.96797436,1
8,1040,8,-106.4292868,-52.25292863,1
8,1040,9,174.6514204,12.12947914,1
8,1040,10,35.01465515,180.6432975,1
8,1040,11,-14.77019695,-35.23970195,1
8,1040,12,-425.5067601,34.09270609,1
8,1040,13,-5.37580711,16.71851433,1
8,1040,14,-6.04162088,-11.93882578,1
8,1040,15,-4.38051027,3.76602659,1
8,1040,16,-1.83529353,13.16587742,1
8,1040,17,-22.15920149,-22.86259346,1
8,1040,18,-31.61736538,-7.8206379,1
8,1040,19,73.52380028,17.50253404,1
8,1040,20,11.12578616,4.08196066,1
8,1040,21,-1.77804139,23.42591655,1
8,1040,22,15.22795993,9.50619108,1
8,1040,23,2.23577994,10.94846371,1
8,1040,24,367.0761535,11.40369046,1
8,1040,25,12.03258948,-13.51901484,1
8,1040,26,198.1091065,-15.86369987,1
8,1040,27,15.33109777,-6.79288928,1
8,1040,28,8.94232081,-3.75456114,1
8,1040,29,4.22578372,-6.5860052,1
8,1040,30,1.68573776,2.37709945,1
8,1040,31,2.47150822,6.78086945,1
8,1040,32,-17.81747946,3.87512168,1
8,1040,33,35.74997141,-6.36405291,1
8,1040,34,-10.78622504,-0.97632163,1
8,1040,35,-88.51605314,-12.73440729,1
8,1040,36,4.22852192,-1.66219739,1
8,1040,37,-0.0562907,-0.19301165,1
8,1040,38,0.88083856,-0.21846973,1
8,1040,39,-0.69952286,0.14574175,1
8,1040,40,-166.1364039,-24.99209606,1
8,1040,41,-5.26943622,7.62014731,1
8,1040,42,-292.8366114,36.9287736,1
8,1040,43,-13.48444033,6.611348,1
8,1040,44,-5.11002339,-2.98314381,1
8,1040,45,-2.91344045,3.33153131,1
8,1040,46,-8.15002732,3.05622058,1
8,1040,47,-0.42933447,3.40622739,1
8,1040,48,-2.093115,-6.66369682,1
8,1040,49,3.25738457,2.1400643,1
8,1040,50,-0.52861263,-1.4762611,1
8,1040,51,-1.48312435,4.38753827,1
8,1040,52,5.08792554,-3.46207261,1
8,1040,53,-17.76842874,-1.71156504,1
8,1040,54,36.26536891,-0.1445797,1
8,1040,55,-0.13366462,-2.69161428,1
8,1040,56,-2.11855001,0.79376298,1
8,1040,57,-0.85303644,-1.33992388,1
