#stokes,freq,ind,real,imag,eta
5,2052,0,308.55596373,-0.52487959,1.08112000
5,2052,1,2.50167630,20.78449640,1.08112000
5,2052,2,-14.89315008,-1.32063181,1.08112000
5,2052,3,-171.21309968,25.39357973,1.08112000
5,2052,4,-73.19217292,-13.68395449,1.08112000
5,2052,5,5.92413203,0.58642205,1.08112000
5,2052,6,-2.18339505,3.45942802,1.08112000
5,2052,7,1.30122205,-10.28751979,1.08112000
5,2052,8,-11.61349023,-1.20678574,1.08112000
5,2052,9,27.48370376,3.72244182,1.08112000
5,2052,10,301.55573639,-44.61223449,1.08112000
5,2052,11,-13.68774039,2.98223207,1.08112000
5,2052,12,-211.23265591,19.68801320,1.08112000
5,2052,13,5.27368083,-1.07561210,1.08112000
5,2052,14,-60.51832654,1.32787908,1.08112000
5,2052,15,0.26125596,0.51885282,1.08112000
5,2052,16,2.15462024,-2.86308039,1.08112000
5,2052,17,-2.04704086,-7.20255504,1.08112000
5,2052,18,-6.69932272,4.17313706,1.08112000
5,2052,19,15.87633464,0.69684248,1.08112000
5,2052,20,-0.35070498,2.51271517,1.08112000
5,2052,21,75.13351435,-9.64857370,1.08112000
5,2052,22,17.60442305,-2.22642869,1.08112000
5,2052,23,22.69657801,-3.18235765,1.08112000
5,2052,24,71.06088568,2.17727107,1.08112000
5,2052,25,-10.50575511,0.55995847,1.08112000
5,2052,26,80.77769824,-4.58923937,1.08112000
5,2052,27,-0.25828085,0.75934375,1.08112000
5,2052,28,-0.17139236,1.73465687,1.08112000
5,2052,29,-0.84898593,1.00686643,1.08112000
5,2052,30,-0.62059090,-1.51664938,1.08112000
5,2052,31,-0.23520981,1.06735475,1.08112000
5,2052,32,-3.55533219,-15.06344612,1.08112000
5,2052,33,4.00894271,-1.37023440,1.08112000
5,2052,34,0.24865722,-2.28402283,1.08112000
5,2052,35,-14.87680649,-3.44104672,1.08112000
5,2052,36,-19.92161703,1.12269601,1.08112000
5,2052,37,3.08181352,-0.76600910,1.08112000
5,2052,38,-2.03258654,0.47537407,1.08112000
5,2052,39,3.32446845,-0.39144786,1.08112000
5,2052,40,-24.44904033,-11.82840463,1.08112000
5,2052,41,3.40369844,0.94748497,1.08112000
5,2052,42,-36.36551227,4.35832532,1.08112000
5,2052,43,-3.03091566,-0.92781577,1.08112000
5,2052,44,-58.69928637,1.34702993,1.08112000
5,2052,45,0.36138370,-1.82786011,1.08112000
5,2052,46,0.66417655,-2.01563139,1.08112000
5,2052,47,0.41482839,-0.83443431,1.08112000
5,2052,48,0.05181531,3.32742492,1.08112000
5,2052,49,0.63135813,2.22337470,1.08112000
5,2052,50,0.16508290,10.80792750,1.08112000
5,2052,51,1.00669882,1.38731279,1.08112000
5,2052,52,0.59598653,0.60790414,1.08112000
5,2052,53,-3.07915746,-0.28381603,1.08112000
5,2052,54,5.44906911,0.68405691,1.08112000
5,2052,55,1.95483406,-0.05712447,1.08112000
5,2052,56,8.63945295,-0.46426855,1.08112000
5,2052,57,-0.43755454,0.12972220,1.08112000
5,2052,58,-3.72333355,0.14996504,1.08112000
5,2052,59,-0.13031065,0.07270510,1.08112000
5,2052,60,38.15967469,9.73998669,1.08112000
5,2052,61,1.49277862,-1.42979845,1.08112000
5,2052,62,-18.14120000,3.57372934,1.08112000
5,2052,63,3.44029081,-0.01857320,1.08112000
5,2052,64,51.95125276,-0.77188485,1.08112000
5,2052,65,1.61925091,0.60482652,1.08112000
6,2052,0,0.30372486,-0.10800330,1.08112000
6,2052,1,-4.52000656,0.81909659,1.08112000
6,2052,2,-8.08320737,-12.23616574,1.08112000
6,2052,3,161.64467079,226.11488935,1.08112000
6,2052,4,2.83867289,0.63208405,1.08112000
6,2052,5,-4.53300768,0.98622350,1.08112000
6,2052,6,1.75480752,2.43558768,1.08112000
6,2052,7,6.33337402,-0.20468529,1.08112000
6,2052,8,-7.40989697,-11.69013969,1.08112000
6,2052,9,20.75944384,27.21459849,1.08112000
6,2052,10,-284.34691404,-413.55262742,1.08112000
6,2052,11,16.03293243,16.91855726,1.08112000
6,2052,12,-2.73581912,-0.57555449,1.08112000
6,2052,13,7.49243206,-2.49306222,1.08112000
6,2052,14,-1.89683552,0.14656785,1.08112000
6,2052,15,0.62887077,1.28348507,1.08112000
6,2052,16,-1.77151296,-0.70772729,1.08112000
6,2052,17,-1.61982787,-2.41590185,1.08112000
6,2052,18,-3.77203435,-6.12304698,1.08112000
6,2052,19,6.37379527,13.61636945,1.08112000
6,2052,20,3.15859182,-0.91122282,1.08112000
6,2052,21,-61.31638356,-97.75737221,1.08112000
6,2052,22,-11.75542957,-8.56460001,1.08112000
6,2052,23,-19.99395085,-30.06725089,1.08112000
6,2052,24,5.33361963,0.31160851,1.08112000
6,2052,25,-1.76453998,1.96088364,1.08112000
6,2052,26,2.24402567,-0.57920051,1.08112000
6,2052,27,-2.26687177,-0.81153253,1.08112000
6,2052,28,0.91273323,-0.06281107,1.08112000
